"","x"
"Blautia",3
"Lachnospiraceae",1
"Collinsella",0
"Erysipelotrichaceae",0
"Ruminococcaceae",2
"Bacteroides",11
"Odoribacter",2
"Coprococcus",2
"Pasteurellaceae",0
"Clostridium_XlV",0
"Bilophila",1
"Catenibacteriu",0
"Dore",1
"Prevotella",7
"Clostridiales_unclassified",0
"Desulfovibrio",1
"Porphyromonas",5
"Clostridium_XlVb",0
"Ruminococcus",4
"Flavonifractor",0
"Fusobacterium",9
"Coriobacteriaceae",0
"Firmicutes_unclassified",0
"Subdoligranulu",0
"Alistipes",2
"Barnesiella",0
"Bacteria_unclassified",0
"Peptococcus",0
"Megamonas",0
"Gemella",6
"Mogibacterium",0
"Coprobacillus",0
"Prevotell",7
"Parvimonas",6
"Peptostreptococcus",6
"Anaerococcus",0
"Clostridia_unclassified",0
"Roseburi",2
"Dialister",2
"Eikenell",1
"Corynebacterium",0
"Clostridium_sensu_stricto",0
"Megasphaera",0
"Porphyromonadaceae",0
"Lachnoanaerobaculum",0
"Clostridium_XVIII",0
"Howardella",0
