"","x"
"Lactobacillus",2
"Enterobacteriaceae",1
"Alloprevotella",0
"Prevotella",7
"Bacteroides",11
"Akkermansia",1
"Betaproteobacteria",0
"Porphyromonadaceae",0
"Anaeroplasma",0
"Burkholderiales",1
"Bacteroidales",1
"Ureaplasma",0
"Helicobacter",0
"Bifidobacterium",4
"Enterococcus",1
"Parabacteroides",1
"unclassifie",0
"Alistipes",2
"Clostridium_sensu_stricto",0
"Allobaculum",0
"Odoribacter",2
"Ruminococcus",4
"Barnesiella",0
"Bacteroidetes",1
"Clostridium_XlV",0
"Mucispirillum",0
"Turicibacter",0
"Clostridium_XVIII",0
"Paenibacillus",0
"Firmicutes",2
"Barnesiell",0
"Streptococcus",4
"Lysinibacillu",0
"Desulfovibrio",1
"Clostridium_X",0
"Flavonifractor",0
"Clostridiales",3
"Clostridium_XI",0
"Bacillu",0
"Bacteria",0
"Desulfovibrionaceae",0
"Lachnospiraceae",1
"Ruminococcaceae",2
"Anaerostipes",0
"Ruminococcus2",0
"Olsenella",0
"Bacillales",1
"Paenibacillu",0
"Bordetell",0
"Cellulomona",0
